process,relevant,sentiment,gender,dizziness,convulsions,heart palpitations,shortness of breathe,headaches,drug effect decreased,allergies worse after taking drug,bad interaction between claritin and another drug.,nausea ,caused insomnia
finally going get claritin allergiesblow,yes,4,female,no,no,no,no,no,no,no,no,no,no
smh never fails every time come home allergy start actin good cause im prepared time pull claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
alergies acting need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
could use claritin right drugyprobs,yes,4,female,no,no,no,no,no,no,no,no,no,no
brandenbtownmcc robatussin advil claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
need claritin doggy,yes,4,male,no,no,no,no,no,no,no,no,no,no
rywoo take allergie medicine claritin work good,yes,4,male,no,no,no,no,no,no,no,no,no,no
trevormoran get claritin kid kind grape taste best like grape candy,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin red bull lavished,yes,4,male,no,no,no,no,no,no,no,no,no,no
gonna go campus get claritin union bookstore need,yes,4,female,no,no,no,no,no,no,no,no,no,no
minmoe try rite aid brand sinus allergy better claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
fuck cunt walmart claritin drug fucking stole coupon goingtotarget,yes,3,female,no,no,no,no,no,no,no,no,no,no
probablybs shall owe claritin disemboweled coke,yes,4,male,no,no,no,no,no,no,no,no,no,no
maxdkaplan claritin x sugar free red bull donatella versace nordstrom rack,yes,3,male,no,no,no,no,no,no,no,no,no,no
got allergy give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
man hope claritin work imma sleep,yes,3,female,no,no,no,no,no,no,no,no,no,no
would sell soul maker claritin would give lifetime supply miracledrug,yes,5,female,no,no,no,no,no,no,no,no,no,no
allergy actin let hour early nothing tonight claritin sleep,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
mjyoungworth msquarter whatrutinkin let know plan tomorrow night claritin tomorrow,yes,2,female,no,no,no,no,no,no,no,no,no,no
wendyly allergic people bah claritin kitten everyone,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
ynthet khitteng sam mirasol kelseyboi thet nakahingi kang claritin baka walang grepa kasi mamaya,non_english,,,,,,,,,,,,
joshinthe like walmart brand claritin,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
claritin work give claritin romneyryan,yes,4,male,no,no,no,no,no,no,no,no,no,no
mad maw strange hardly touched claritin yet ive even got cold mowed kill weed many,yes,3,male,no,no,no,no,no,no,no,no,no,no
ordered pizza baking cooky claritin ready netflix ready kamauri watching cartoon friday night,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin clear like make sleep forever,yes,2,female,no,no,no,no,no,no,no,no,no,no
drfunbags use zyrtec claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
cooky milk claritin dinner dontjudge mmmclaritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
trevormoran take claritin joke allergy,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin fucked judgment,yes,1,female,no,no,no,no,no,no,no,no,no,no
allergy acting gave claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
hello need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
hahaha turnt claritin tyler boyd told dude imani gonna win funny shit,yes,4,male,no,no,no,no,no,no,no,no,no,no
fuck allergy get claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
luvniku thanks got north american brand claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
columnbreak north american brand claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
yay claritin clear,yes,4,male,no,no,no,no,no,no,no,no,no,no
fact benedryl claritin ugh,yes,4,female,no,no,no,no,no,no,no,no,no,no
getting claritin scene,yes,4,male,no,no,no,no,no,no,no,no,no,no
stellabella xo ehnnn even ask come claritin benadryl zyrtec go parry hard tmrw lb,yes,3,male,no,no,no,no,no,no,no,no,no,no
took claritin ton vitamin c two shot nyquil night time medicine feel better wake tomorrow,yes,4,male,no,no,no,no,no,no,no,no,no,no
lolekc hahaha bilhan mo ako marami claritin yung gamot na iniinom daw hour uminom para di maallergy,non_english,,,,,,,,,,,,
cashkidtaylored ummm air got allergy actin need take claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
see wrong take claritin pill,yes,4,female,no,no,no,no,no,no,no,no,no,no
effect yung claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin naalala ko q haha clarence tin,non_english,,,,,,,,,,,,
gimme b claritin please wakeup allergy tiredaf,yes,3,female,no,no,no,no,no,no,no,no,no,no
hopped delsym claritin albuterol lmao,yes,3,female,no,no,no,no,no,no,no,no,no,no
niquil claritin kellyprobz maddie kieffer,yes,3,female,no,no,no,no,no,no,no,no,no,no
awko taco moment u claritin left,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin make dance,yes,4,female,no,no,no,no,no,no,no,no,no,no
jenni yep lying bed waiting claritin kick,yes,2,female,no,no,no,no,no,no,no,no,no,no
wish someone would kind bring claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin working nobueno,yes,2,bad_link_or_company,no,no,no,no,no,no,yes,no,no,no
two claritin hr harsh face wash moisturizer cold weather hello dry skin gameday,yes,2,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
split bypass time release four half rt fsu tomahawknation two claritin might well take meth,yes,3,male,no,no,no,no,no,no,no,no,no,no
randomly woke feeling like crap need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
ufrankie wake feeling like partied spring break damn allergy please send drug claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
claritin really dry damn system woulda couple drink probably never wake,yes,2,female,no,no,no,no,no,no,no,no,no,no
whimsicalmusing allegra claritin nothing zyrtec much either,yes,2,female,no,no,no,no,no,no,no,no,no,no
sends heyyy sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
xkatelopez take claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
cold fuck allergy brb overdosing claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
need claritin type bud,yes,3,male,no,no,no,no,no,no,no,no,no,no
mrrobii lol took claritin stuff nose lol feel bad look miserable bring,yes,3,female,no,no,no,no,no,no,no,no,no,no
medicine cold house child grape flavored claritin stuff taste like dog poop,yes,2,female,no,no,no,no,no,no,no,no,no,no
note self day santa ana bad even need take claritin run socalproblems runner sneezy,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin cough syrup bad mix yet good mix,yes,4,bad_link_or_company,no,no,no,no,no,no,no,yes,no,no
claritin needa kick already,yes,2,male,no,no,no,no,no,no,no,no,no,no
considering building swipe access medicine cabinet baker center claritin pepto cough drop motrin listerine,yes,3,female,no,no,no,no,no,no,no,no,no,no
allergy give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
let pop claritin cause allergy,yes,4,female,no,no,no,no,no,no,no,no,no,no
nowtaking vitamin claritin lol,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin cost dollar regular claritin dollar sudafed dollar make nbd thankspaschool,yes,2,female,no,no,no,no,no,no,no,no,no,no
well found exercise induced allergy future become obese haha claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
want hero amp bring claritin way santa paula,yes,4,female,no,no,no,no,no,no,no,no,no,no
phone without broken screen feel really fancy like claritin commercial see,yes,3,female,no,no,no,no,no,no,no,no,no,no
claritin clear life right fuckalergies strugglin,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl sick think want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
xxcherryontopxx claritin allergy,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin sickgirlprobs sick,yes,2,female,no,no,no,no,no,no,no,no,no,no
two benefryll one claritin two advil later stillsick,yes,2,female,no,no,no,no,no,no,no,no,no,no
majesticcmaggz take claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
forgot take claritin gonna sneezing night hot,yes,2,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
overall easy day work ate pizza amp watched year old man cry cause caught stealing worth claritin amp called popo,no,,,,,,,,,,,,
arashid hahaha worry get drugged claritin go near,yes,4,female,no,no,no,no,no,no,no,no,no,no
tu sigue en tu swing yo estoy claritin,non_english,,,,,,,,,,,,
jbach generic zyrtec claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
halloween bag consists lollipop claritin rum amp chaptick,yes,3,female,no,no,no,no,no,no,no,no,no,no
hate allergy guess claritin work kryptonite,yes,2,male,no,no,no,no,no,no,yes,no,no,no
claritin got right,yes,4,female,no,no,no,no,no,no,no,no,no,no
ic flare cocktail amytrip uricalm half pain pill faux claritin forgot take morning,yes,3,female,no,no,no,no,no,no,no,no,no,no
gonna get boyfriend claritin clear birthday,yes,3,male,no,no,no,no,no,no,no,no,no,no
still got nasal flow think need claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
dominicp haha aww thanks well taking claritin started taking dayquil helping much still dizzy,yes,2,female,yes,no,no,no,no,no,no,no,no,no
dayquil antibiotic claritin miracle od yet,yes,4,female,no,no,no,no,no,no,no,yes,no,no
adri hahahahaha real thank god claritin benadryl,yes,4,male,no,no,no,no,no,no,no,no,no,no
damn dee zyrtec claritin either benedryl want go sleep time lol,yes,2,female,no,no,no,no,no,no,no,no,no,no
thank claritin hour liquid gel,yes,4,female,no,no,no,no,no,no,no,no,no,no
girl tell sick give claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
allergy b actin amp bitch lettin claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
girl test saying sick want claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl dressed pikachu sneeze table everybody leaf halloweenparty claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
zyrtec allegra amp claritin working sledgehammer perhaps,yes,2,female,no,no,no,no,no,no,no,no,no,no
claritin lt lol,yes,4,female,no,no,no,no,no,no,no,no,no,no
raewho know give claritin fine,yes,4,female,no,no,no,no,no,no,no,no,no,no
hannahblackwell claritin wonder,yes,4,male,no,no,no,no,no,no,no,no,no,no
allergy need claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
jstapes oh claritin psych med lol,yes,4,female,no,no,no,no,no,no,no,no,no,no
feelin sick okay give claritin hahaha geekin shit say work though gt gt gt gt gt gt,yes,4,male,no,no,no,no,no,no,no,no,no,no
rt cee marsh another thing comin think im sayin bless u nigguh done sneezed time row takin claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
caramelbunny yuck take claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
mgoblog retweeting many cat timeline take claritin,yes,4,male,no,no,no,no,no,no,no,no,no,no
need pop claritin asap,yes,4,female,no,no,no,no,no,no,no,no,no,no
pre zzi claritin best thing,yes,5,female,no,no,no,no,no,no,no,no,no,no
awkward moment drunk nd get allergic reaction pine needle take claritin,yes,3,male,no,no,no,no,no,no,no,no,no,no
found generic claritin hopefully work,yes,4,female,no,no,no,no,no,no,no,no,no,no
mermaidkissess forgot take claritin fucking love yoy,yes,3,female,no,no,no,no,no,no,no,no,no,no
dok agussetiono bedanya claritin sm clarinase apa ya klo buat alergi yg smp bersin yg mana aman gk buat bumil mkshhhh,non_english,,,,,,,,,,,,
eshadow fine ill use claritin,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
intan felly clarinase ada pseudoefedrinnya claritin hanya loratadine saja yg relatif lbh aman claritin bisa digunakan saat bersin,non_english,,,,,,,,,,,,
allergy achooo claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
nicohp tlga may claritin nman e effective hahaha,non_english,,,,,,,,,,,,
iamthegarysia friend claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin working please help stop sneezing gsus,yes,2,male,no,no,no,no,no,yes,no,no,no,no
thank claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
callmemiiimay may allergy din ako sa hipon gingamot ko lang claritin allerta kumain nun,non_english,,,,,,,,,,,,
sweetpink e q tengo claritin da sue quiero dormir,non_english,,,,,,,,,,,,
claritin blue,yes,3,female,no,no,no,no,no,no,no,no,no,no
hannahblackwell yes claritin,yes,3,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
get claritin asshole win asshole know,yes,2,female,no,no,no,no,no,no,no,no,no,no
lui zero claritin ako eh haha okay na po,non_english,,,,,,,,,,,,
wake n instantly mad throat itchy af took teaspoonful childrens claritin uped dose,yes,3,female,no,no,no,no,no,no,no,no,no,no
maynaismailova sudah coba claritin antialergi loratadine bisa mengurangi gatal soalnya,non_english,,,,,,,,,,,,
neneee claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
back taking claritin everyday let see stupid cough go away,yes,4,female,no,no,no,no,no,no,no,no,no,no
weather giving sipon thank god claritin lifesaver,yes,4,male,no,no,no,no,no,no,no,no,no,no
iamdeeamber inhaler machine barely work go back n forth claritin zyrtec,yes,3,female,no,no,no,no,no,no,no,no,no,no
mohd almutairi hassan alhosani n nzyrtec amp claritin pp n nb mno ur dr,non_english,,,,,,,,,,,,
spicyalix whoever invented claritin probably chillin tropical island somewhere,yes,4,female,no,no,no,no,no,no,no,no,no,no
omgosh need pop claritin sinus,yes,4,female,no,no,no,no,no,no,no,no,no,no
standinsounique get claritin spell check non drowsy,yes,3,female,no,no,no,no,no,no,no,no,no,no
viver base de claritin como sempre bacana legal da hora zica,non_english,,,,,,,,,,,,
ever fat guy speaking sandy someone tell blow nose take claritin clear sinus man,yes,4,male,no,no,no,no,no,no,no,no,no,no
makenzie oohh claritin reminds vitamin,yes,4,female,no,no,no,no,no,no,no,no,no,no
panadol amp claritin aunt tryna kill x x,yes,2,female,no,no,no,no,no,no,no,yes,no,no
fthorn fab five fan okay suggest claritin clear allegra,yes,4,male,no,no,no,no,no,no,no,no,no,no
girl sick want claritin forrealthough,yes,4,female,no,no,no,no,no,no,no,no,no,no
brother get claritin instead tell drink green tea,yes,2,female,no,no,no,no,no,no,no,no,no,no
many cat little claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
girl sends heyy sick probably want claritin hour,yes,4,female,no,no,no,no,no,no,no,no,no,no
rishy fishy take claritin get,yes,4,male,no,no,no,no,no,no,no,no,no,no
allergy medication blog claritin allergy medication work,yes,3,female,no,no,no,no,no,no,no,no,no,no
hey mouth breather many express lane learn math get claritin,yes,3,unknown,no,no,no,no,no,no,no,no,no,no
domo shmomo tell sick want gt gt gt gt claritin lmao,yes,4,female,no,no,no,no,no,no,no,no,no,no
sitting like minute trying swallow tiny claritin,yes,2,female,no,no,no,no,no,no,no,no,no,no
need prescription claritin stop sneezing,yes,4,female,no,no,no,no,no,no,no,no,no,no
give claritin allergy,yes,4,male,no,no,no,no,no,no,no,no,no,no
wonder possible overdose claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
marzillasky vinko allergy need claritin need,yes,2,male,no,no,no,no,no,no,no,no,no,no
workout wait til mara breathe need v amp claritin,yes,4,bad_link_or_company,no,no,no,no,no,no,no,no,no,no
kroqnk awww want go time race took claritin hr bad gone away even napped,yes,2,female,no,no,no,no,no,no,yes,no,no,no
claritin clear,yes,3,male,no,no,no,no,no,no,no,no,no,no
icy icis claritin nyquil thera flu,yes,3,female,no,no,no,no,no,no,no,no,no,no
never tried claritin making little woozy try anything miserable,yes,2,male,no,no,no,no,no,no,no,no,no,no
gretelderuiter imagine segregate claritin around,yes,4,female,no,no,no,no,no,no,no,no,no,no
sneeze want claritin,yes,4,female,no,no,no,no,no,no,no,no,no,no
need claritin mean find store open pharmacy breathe sunday,yes,4,female,no,no,no,no,no,no,no,no,no,no
ginnyrr ninaarosales weird tita ginny claritin non drowsy allergy medicine,yes,3,female,no,no,no,no,no,no,no,no,no,no
apparently cut using claritin stupidlabels,yes,2,female,no,no,no,no,no,no,no,no,no,no
need tell grandma send life supply claritin,yes,3,female,no,no,no,no,no,no,no,no,no,no
leckadams whenever want eat lobster take claritin allegra wash hand face eating,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
haleydidyourmom crenshee got cold give claritin shitjustgotreal shitisay,yes,3,female,no,no,no,no,no,no,no,no,no,no
head shoulder illusion brought claritin noh still open suggestion,yes,4,unknown,no,no,no,no,no,no,no,no,no,no
like claritin commercial fog,yes,3,male,no,no,no,no,no,no,no,no,no,no
mattymcmill get claritin work commercialsaysso someguynamedmattytoldmethis,yes,4,female,no,no,no,no,no,no,no,no,no,no
claritin work,yes,3,male,no,no,no,no,no,no,no,no,no,no
butttttt cute thing claritin tank full gas guess survive,yes,4,female,no,no,no,no,no,no,no,no,no,no
think advil cold sinus tylenol extra strength claritin benadryl finally catching sickling sniffle,yes,4,female,no,no,no,no,no,no,no,no,no,no
allergy give claritin shewantsthed,yes,3,male,no,no,no,no,no,no,no,no,no,no
make previous relationship look like shit truth thank god see claritin clear,yes,4,female,no,no,no,no,no,no,no,no,no,no
